Name,Handedness,Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Clayton Kershaw,L,2013-06-05,LAD,SDP,1,0,1,3.00,1,1,0,0,0,0,0,6.0,28,7,3,2,1,3,0,0,0,0,9,47
Clayton Kershaw,L,2013-05-31,LAD,@COL,1,0,0,3.86,1,1,0,0,0,0,0,7.0,30,8,3,3,0,2,0,0,0,0,5,55
Clayton Kershaw,L,2013-05-26,LAD,STL,1,0,1,5.14,1,1,0,0,0,0,0,7.0,30,7,4,4,0,3,0,0,0,0,5,52
Clayton Kershaw,L,2013-05-20,LAD,@MIL,1,1,0,1.00,1,1,1,0,0,0,0,9.0,32,3,1,1,0,1,0,0,1,0,5,85
Clayton Kershaw,L,2013-05-14,LAD,WSN,1,1,0,0.00,1,1,0,0,0,0,0,8.2,32,5,0,0,0,1,0,0,0,1,11,88
Clayton Kershaw,L,2013-05-08,LAD,ARI,1,0,0,1.29,1,1,0,0,0,0,0,7.0,27,5,2,1,1,1,0,0,0,0,4,59
Clayton Kershaw,L,2013-05-03,LAD,@SFG,1,0,0,1.29,1,1,0,0,0,0,0,7.0,26,3,1,1,0,3,1,0,0,0,5,69
Clayton Kershaw,L,2013-04-28,LAD,MIL,1,1,0,0.00,1,1,0,0,0,0,0,8.0,27,4,0,0,0,0,0,0,0,0,12,89
Clayton Kershaw,L,2013-04-23,LAD,@NYM,1,0,0,3.60,1,1,0,0,0,0,0,5.0,22,3,2,2,0,4,0,0,0,0,5,52
Clayton Kershaw,L,2013-04-17,LAD,SDP,1,0,1,5.06,1,1,0,0,0,0,0,5.1,26,7,5,3,3,4,1,0,1,0,5,19
Clayton Kershaw,L,2013-04-12,LAD,@ARI,1,0,1,3.68,1,1,0,0,0,0,0,7.1,29,6,3,3,0,3,0,0,0,0,9,63
Clayton Kershaw,L,2013-04-06,LAD,PIT,1,1,0,0.00,1,1,0,0,0,0,0,7.0,23,2,0,0,0,1,0,0,0,0,9,82
Clayton Kershaw,L,2013-04-01,LAD,SFG,1,1,0,0.00,1,1,1,1,0,0,0,9.0,30,4,0,0,0,0,0,0,1,0,7,90
Clayton Kershaw,L,2012-10-03,LAD,SFG,1,1,0,1.13,1,1,0,0,0,0,0,8.0,29,3,1,1,0,3,0,0,0,0,8,79
Clayton Kershaw,L,2012-09-28,LAD,COL,1,1,0,0.00,1,1,0,0,0,0,0,8.0,30,5,0,0,0,2,0,0,0,0,10,82
Clayton Kershaw,L,2012-09-23,LAD,@CIN,1,0,0,1.80,1,1,0,0,0,0,0,5.0,24,5,1,1,0,5,0,1,0,0,5,50
Clayton Kershaw,L,2012-09-11,LAD,@ARI,1,0,1,0.00,1,1,0,0,0,0,0,7.0,25,3,1,0,0,3,0,0,0,0,5,70
Clayton Kershaw,L,2012-09-04,LAD,SDP,1,0,0,1.29,1,1,0,0,0,0,0,7.0,29,5,1,1,1,3,0,0,1,0,9,64
Clayton Kershaw,L,2012-08-30,LAD,ARI,1,0,1,3.00,1,1,0,0,0,0,0,6.0,27,9,2,2,1,3,1,0,0,1,9,47
Clayton Kershaw,L,2012-08-25,LAD,MIA,1,1,0,2.25,1,1,0,0,0,0,0,8.0,29,3,2,2,1,2,0,1,0,0,8,72
Clayton Kershaw,L,2012-08-20,LAD,SFG,1,0,1,2.25,1,1,0,0,0,0,0,8.0,29,6,2,2,0,0,0,0,0,0,10,78
Clayton Kershaw,L,2012-08-15,LAD,@PIT,1,1,0,3.38,1,1,0,0,0,0,0,8.0,29,6,3,3,1,0,0,0,0,0,8,67
Clayton Kershaw,L,2012-08-10,LAD,@MIA,1,1,0,2.84,1,1,0,0,0,0,0,6.1,25,3,2,2,1,1,0,0,0,0,7,63
Clayton Kershaw,L,2012-08-04,LAD,CHC,1,1,0,1.29,1,1,0,0,0,0,0,7.0,26,3,1,1,0,2,0,0,0,0,7,74
Clayton Kershaw,L,2012-07-29,LAD,@SFG,1,1,0,0.00,1,1,1,1,0,0,0,9.0,32,5,0,0,0,1,0,0,0,0,7,87
Clayton Kershaw,L,2012-07-24,LAD,@STL,1,0,1,12.71,1,1,0,0,0,0,0,5.2,28,7,8,8,0,3,1,1,0,0,4,32
Clayton Kershaw,L,2012-07-18,LAD,PHI,1,0,0,1.13,1,1,0,0,0,0,0,8.0,30,5,1,1,0,0,0,0,0,0,7,80
Clayton Kershaw,L,2012-07-13,LAD,SDP,1,1,0,1.50,1,1,0,0,0,0,0,6.0,27,6,1,1,0,3,0,0,0,0,6,59
Clayton Kershaw,L,2012-07-06,LAD,@ARI,1,0,1,8.44,1,1,0,0,0,0,0,5.1,22,5,5,5,0,2,0,0,0,0,7,48
Clayton Kershaw,L,2012-07-01,LAD,NYM,1,1,0,1.29,1,1,0,0,0,0,0,7.0,29,5,3,1,0,3,0,1,0,0,9,64
Clayton Kershaw,L,2012-06-26,LAD,@SFG,1,0,1,3.00,1,1,0,0,0,0,0,6.0,28,8,2,2,1,2,1,0,0,0,8,50
Clayton Kershaw,L,2012-06-21,LAD,@OAK,1,0,0,1.13,1,1,0,0,0,0,0,8.0,27,3,1,1,0,2,0,0,1,0,7,80
Clayton Kershaw,L,2012-06-15,LAD,CHW,1,0,0,6.00,1,1,0,0,0,0,0,6.0,28,8,5,4,2,2,0,0,2,0,7,34
Clayton Kershaw,L,2012-06-09,LAD,@SEA,1,1,0,3.86,1,1,0,0,0,0,0,7.0,27,4,3,3,1,2,0,1,0,0,12,65
Clayton Kershaw,L,2012-06-04,LAD,@PHI,1,0,0,3.86,1,1,0,0,0,0,0,7.0,30,8,3,3,1,0,0,0,0,0,5,54
Clayton Kershaw,L,2012-05-30,LAD,MIL,1,0,1,7.94,1,1,0,0,0,0,0,5.2,27,8,5,5,0,4,1,0,1,0,7,40
Clayton Kershaw,L,2012-05-25,LAD,HOU,1,0,1,2.57,1,1,0,0,0,0,0,7.0,29,5,3,2,1,3,0,0,0,0,6,55
Clayton Kershaw,L,2012-05-19,LAD,STL,1,1,0,0.00,1,1,1,1,0,0,0,9.0,31,6,0,0,0,0,0,0,0,0,4,84
Clayton Kershaw,L,2012-05-14,LAD,ARI,1,1,0,0.00,1,1,0,0,0,0,0,7.0,27,4,0,0,0,3,0,0,0,0,6,72
Clayton Kershaw,L,2012-05-08,LAD,SFG,1,0,1,2.25,1,1,0,0,0,0,0,8.0,29,5,2,2,1,1,0,0,0,0,7,69
Clayton Kershaw,L,2012-05-02,LAD,@COL,1,0,0,6.14,1,1,0,0,0,0,0,7.1,30,7,5,5,3,1,0,0,0,0,6,39
Clayton Kershaw,L,2012-04-27,LAD,WSN,1,1,0,2.25,1,1,0,0,0,0,0,8.0,31,3,2,2,1,1,0,0,0,0,6,72
