Chris Young	statsd.aspx?playerid=3882&position=OF
Mark Sweeney	statsd.aspx?playerid=1408&position=1B/OF
Clete Thomas	statsd.aspx?playerid=3373&position=OF
Joe Mahoney	statsd.aspx?playerid=8179&position=1B
Javier Valentin	statsd.aspx?playerid=759&position=C
Adam Eaton	statsd.aspx?playerid=11205&position=OF
Didi Gregorius	statsd.aspx?playerid=6012&position=SS
Ian Stewart	statsd.aspx?playerid=5950&position=3B
Bill Hall	statsd.aspx?playerid=1605&position=3B/SS
Brian Barden	statsd.aspx?playerid=4429&position=3B
Reggie Willits	statsd.aspx?playerid=5590&position=OF
Kole Calhoun	statsd.aspx?playerid=11200&position=OF
Raul Chavez	statsd.aspx?playerid=553&position=C
Chris Denorfia	statsd.aspx?playerid=4400&position=OF
Javy Lopez	statsd.aspx?playerid=103&position=C
Scott Moore	statsd.aspx?playerid=4390&position=1B/3B
Jim Chamblee	statsd.aspx?playerid=1146&position=3B
Terry Tiffee	statsd.aspx?playerid=2160&position=3B
Tommy Watkins	statsd.aspx?playerid=2465&position=3B
Charles Johnson	statsd.aspx?playerid=523&position=C
Daniel Butler	statsd.aspx?playerid=9968&position=C
Matt Carson	statsd.aspx?playerid=4748&position=OF
Jorge Soler	statsd.aspx?playerid=14221&position=OF
Jason Ellison	statsd.aspx?playerid=1704&position=OF
Nolan Fontana	statsd.aspx?playerid=13267&position=2B
Trent Oeltjen	statsd.aspx?playerid=3310&position=OF
Mitch Maier	statsd.aspx?playerid=5588&position=OF
Lee Stevens	statsd.aspx?playerid=796&position=1B
Kevin Kiermaier	statsd.aspx?playerid=11038&position=OF
Sal Fasano	statsd.aspx?playerid=1205&position=C
Delwyn Young	statsd.aspx?playerid=4563&position=2B/OF
Jesus Sucre	statsd.aspx?playerid=5942&position=C
Manny Machado	statsd.aspx?playerid=11493&position=3B
Jason Kipnis	statsd.aspx?playerid=9776&position=2B
Wilmer Flores	statsd.aspx?playerid=5827&position=3B/SS
Koyie Hill	statsd.aspx?playerid=1829&position=C
Jayson Werth	statsd.aspx?playerid=1327&position=OF
Joey Gathright	statsd.aspx?playerid=3913&position=OF
Brad Eldred	statsd.aspx?playerid=4328&position=1B
Donaldo Mendez	statsd.aspx?playerid=1047&position=SS
Mark Loretta	statsd.aspx?playerid=1383&position=2B
Travis Snider	statsd.aspx?playerid=2830&position=OF
Josh Paul	statsd.aspx?playerid=251&position=C
Jose Leon	statsd.aspx?playerid=149&position=1B/3B
Mark Grudzielanek	statsd.aspx?playerid=653&position=2B/SS
Brian Bogusevic	statsd.aspx?playerid=4719&position=OF
Larry Bigbie	statsd.aspx?playerid=128&position=OF
Jesus Feliciano	statsd.aspx?playerid=2448&position=OF
Hiram Bocachica	statsd.aspx?playerid=1404&position=OF
Edward Easley	statsd.aspx?playerid=2487&position=C
Scott McClain	statsd.aspx?playerid=8951&position=1B/3B
Doug Clark	statsd.aspx?playerid=2457&position=OF
Laynce Nix	statsd.aspx?playerid=1766&position=OF
Jeromy Burnitz	statsd.aspx?playerid=867&position=OF
Luis Martinez	statsd.aspx?playerid=2481&position=C
J.T. Snow	statsd.aspx?playerid=1133&position=1B
